"Firm_Name_name","Firm_Name_City","Firm_Name_Country","Firm_Name_AUM_in_millions","Firm_Name_annual_change_in_AUM","Firm_Name_Strategies"
"Benefit Street Partners","New York","United States","20,632","-0.1","Credit"
"York Capital Management","New York","United States","20,608","0.0","Event Driven"
"Egerton Capital","London","United Kingdom","20,232","-0.1","Long/Short"
"Nephila Capital","Larkspur","United States","19,793","0.2","Insurance, Commodities"
"Arrowstreet Capital","Boston","United States","19,600","0.2","Emerging Markets, Long/Short"
"Winton Capital Management","London","United Kingdom","19,243","0.0","Managed Futures, Absolute Returns, Long/Short"
"Appaloosa Management","Short Hills","United States","19,100","0.0","Global Equity, Fixed Income, Distressed Assets"
"Grantham, Mayo, Van Otterloo & Co.","Boston","United States","18,960","0.1","Emerging Markets, Global Macro, Energy"
"Marshall Wace","London","United Kingdom","18,854","-0.1","Global Macro, Multi Strategy"
"UBS Hedge Fund Solutions","Stamford","United States","18,706","0.0","Equity"
"Haidar Capital Management","New York","United States","18,543","0.6","Global Macro, Multi Strategy, Long/Short"
"Polar Capital Partners","London","United Kingdom","16,752","-0.1","Long/Short, Convertibles"
"Platinum Asset Management","Sydney","Australia","16,431","-0.1","Equity"
"MJX Asset Management","New York","United States","16,056","0.1","CDO, Credit"
"Wafra Investment Group","New York","United States","16,035","0.1","Multi Strategy"
"Neuberger Berman","New York","United States","15,900","0.0","Fund of Funds"
"KLS Diversified","New York","United States","15,891","-0.1","Fixed Income, Commodities"
"Algebris Investments","London","United Kingdom","15,864","0.4","Credit, UCITS, Emerging Markets"
"Horsley Bridge Partners","San Francisco","United States","15,811","0.1","Private Equity, Fund of Funds"
"CarVal Investors","Minneapolis","United States","15,734","0.0","Fixed Income, Real Estate"
"Danske Capital","Copenhagen","Denmark","15,500","","European Equity, Fixed Income, Global Macro"
"LMR Partners","London","United Kingdom","15,350","","Global Macro, Event Driven"
"Crestline Investors","Fort Worth","United States","15,317","0.2","Fund of Funds, Event Driven"
"OrbiMed Advisors","New York","United States","14,910","0.0","Private Equity"
"BlueMountain Capital","New York","United States","14,806","-0.5","Long/Short, Credit"
"Bayview Asset Management","Coral Gables","United States","14,700","0.1","Credit"
"Man Group","London","United Kingdom","14,657","1.0","Global Macro, Convertibles, Crypto"
"Aviva Investors","London","United Kingdom","14,553","0.9","Convertibles, Multi Strategy, Global Equity"
"LaSalle Investment Management","Chicago","United States","14,321","0.0","Real Estate"
"Brummer and Partners","Stockholm","Sweden","14,200","","Long/Short, Multi Strategy, Global Macro"
